"TIME","GEO","UNIT","FACILITY","Value","Flag and Footnotes"
"2003","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2003","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","653.00",""
"2003","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","628.50",""
"2003","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","772.24",""
"2003","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","413.33",""
"2003","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","874.41",""
"2003","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","580.47",""
"2003","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","567.19",""
"2003","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","469.56",""
"2003","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","345.00",""
"2003","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","754.56",""
"2003","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","561.14",""
"2003","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","415.88",""
"2003","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2003","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","782.64",""
"2003","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","776.53",""
"2003","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2003","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","789.53",""
"2003","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","742.88",""
"2003","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","449.98",""
"2003","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","773.34",""
"2003","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","667.90",""
"2003","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","358.77",""
"2003","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","674.36",""
"2003","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","495.81",""
"2003","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","723.81",""
"2003","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","724.32",""
"2003","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","305.10",""
"2003","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","395.38",""
"2003","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2003","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","275.83",""
"2003","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","498.90",""
"2003","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","582.40",""
"2003","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2003","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","480.71",""
"2003","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","305.80",""
"2003","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2003","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","212.96",""
"2004","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","590.27",""
"2004","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","647.47",""
"2004","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","613.13",""
"2004","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","763.55",""
"2004","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","397.11",""
"2004","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","857.78",""
"2004","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","569.93",""
"2004","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","564.12",""
"2004","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","468.92",""
"2004","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","341.70",""
"2004","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","739.04",""
"2004","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","552.55",""
"2004","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","398.65",""
"2004","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2004","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","774.42",""
"2004","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","743.71",""
"2004","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","639.39",""
"2004","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","788.77",""
"2004","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","745.64",""
"2004","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","447.15",""
"2004","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","773.45",""
"2004","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","666.81",""
"2004","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","358.29",""
"2004","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","673.72",""
"2004","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","479.92",""
"2004","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","689.82",""
"2004","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","709.94",""
"2004","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","301.19",""
"2004","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","386.52",""
"2004","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2004","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","272.88",""
"2004","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","524.53",""
"2004","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","566.97",""
"2004","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2004","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","477.19",""
"2004","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","300.74",""
"2004","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2004","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","211.95",""
"2005","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","581.77",""
"2005","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","643.40",""
"2005","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","641.17",""
"2005","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","755.28",""
"2005","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","385.69",""
"2005","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","846.74",""
"2005","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","541.71",""
"2005","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","545.95",""
"2005","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","472.90",""
"2005","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","336.10",""
"2005","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","722.49",""
"2005","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","545.08",""
"2005","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","399.91",""
"2005","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","375.04",""
"2005","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","769.22",""
"2005","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","708.78",""
"2005","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","578.51",""
"2005","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","791.45",""
"2005","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","744.61",""
"2005","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","445.46",""
"2005","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","768.71",""
"2005","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","652.06",""
"2005","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","354.26",""
"2005","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","677.30",""
"2005","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","483.19",""
"2005","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","677.02",""
"2005","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","705.29",""
"2005","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","293.24",""
"2005","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","373.41",""
"2005","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2005","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","270.48",""
"2005","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","516.10",""
"2005","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","553.92",""
"2005","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2005","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","469.79",""
"2005","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","295.48",""
"2005","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2005","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","215.18",""
"2006","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","572.94",""
"2006","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","637.53","b"
"2006","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","619.81",""
"2006","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","742.47",""
"2006","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","379.11",""
"2006","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","829.71",""
"2006","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","556.44",""
"2006","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","527.47",""
"2006","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","481.69",""
"2006","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","331.49",""
"2006","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","711.11",""
"2006","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","545.63",""
"2006","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","393.90",""
"2006","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","369.69",""
"2006","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","760.81",""
"2006","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","688.82",""
"2006","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","565.13",""
"2006","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","797.72",""
"2006","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","754.91",""
"2006","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","478.03","b"
"2006","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","766.20",""
"2006","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","647.20",""
"2006","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","345.84",""
"2006","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","674.13",""
"2006","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","476.71",""
"2006","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","671.16",""
"2006","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","698.65",""
"2006","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","288.78",""
"2006","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","355.66",""
"2006","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2006","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","242.60",""
"2006","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","502.65",""
"2006","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","539.11",""
"2006","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2006","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","462.69",""
"2006","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","296.55",""
"2006","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","554.35",""
"2006","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","222.83",""
"2007","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","563.77",""
"2007","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","632.01",""
"2007","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","636.43",""
"2007","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","730.61",""
"2007","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","369.12",""
"2007","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","823.91",""
"2007","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","547.75",""
"2007","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","514.61",""
"2007","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","481.45",""
"2007","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","327.19",""
"2007","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","706.00",""
"2007","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","548.61",""
"2007","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","384.48",""
"2007","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","371.95",""
"2007","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","757.13",""
"2007","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","688.26",""
"2007","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","566.88",""
"2007","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","718.59","b"
"2007","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","780.34",""
"2007","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","474.19",""
"2007","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","774.71",""
"2007","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","642.38",""
"2007","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","341.43",""
"2007","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","653.87",""
"2007","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","468.28",""
"2007","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","675.32",""
"2007","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","673.30",""
"2007","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","286.35",""
"2007","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","340.71",""
"2007","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","411.79",""
"2007","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","241.05",""
"2007","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","486.41",""
"2007","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","536.01",""
"2007","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","456.36",""
"2007","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","290.73",""
"2007","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","534.63",""
"2007","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","231.12",""
