"AGE","GEO","UNIT","TIME","SEX","ICD10","RESID","Value","Flag and Footnotes"
"From 1 to 6 days","Poland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","19.38",""
"From 1 to 6 days","Portugal","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"From 1 to 6 days","Romania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","28.4",""
"From 1 to 6 days","Slovenia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","23.68",""
"From 1 to 6 days","Slovakia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","24.69",""
"From 1 to 6 days","Finland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.2",""
"From 1 to 6 days","Sweden","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.8",""
"From 1 to 6 days","United Kingdom","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","22.03",""
"From 1 to 6 days","Iceland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"From 1 to 6 days","Liechtenstein","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"From 1 to 6 days","Norway","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","33.1",""
"From 1 to 6 days","Switzerland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","16.16",""
"From 1 to 6 days","Serbia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","35.79",""
"From 1 to 6 days","Turkey","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","32.4",""
"From 7 to 27 days","European Union (current composition)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","18.21",""
"From 7 to 27 days","Belgium","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","18.68",""
"From 7 to 27 days","Bulgaria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","16.8",""
"From 7 to 27 days","Czechia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","21.76",""
"From 7 to 27 days","Denmark","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","8.73",""
"From 7 to 27 days","Germany (until 1990 former territory of the FRG)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","13.09",""
"From 7 to 27 days","Estonia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.59",""
"From 7 to 27 days","Ireland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","16.59",""
"From 7 to 27 days","Greece","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.94",""
"From 7 to 27 days","Spain","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","24",""
"From 7 to 27 days","France","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.61",""
"From 7 to 27 days","Croatia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","13.86",""
"From 7 to 27 days","Italy","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","7,300",""
"From 7 to 27 days","Cyprus","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"From 7 to 27 days","Latvia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","19.05",""
"From 7 to 27 days","Lithuania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.69",""
"From 7 to 27 days","Luxembourg","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"From 7 to 27 days","Hungary","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.48",""
"From 7 to 27 days","Malta","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"From 7 to 27 days","Netherlands","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.73",""
"From 7 to 27 days","Austria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","11.9",""
"From 7 to 27 days","Poland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","19.13",""
"From 7 to 27 days","Portugal","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"From 7 to 27 days","Romania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","19.84",""
"From 7 to 27 days","Slovenia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","23.68",""
"From 7 to 27 days","Slovakia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","15.43",""
"From 7 to 27 days","Finland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","14.63",""
"From 7 to 27 days","Sweden","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","13.6",""
"From 7 to 27 days","United Kingdom","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","15.25",""
"From 7 to 27 days","Iceland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"From 7 to 27 days","Liechtenstein","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"From 7 to 27 days","Norway","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","14.79",""
"From 7 to 27 days","Switzerland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","10.98",""
"From 7 to 27 days","Serbia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","13.16",""
"From 7 to 27 days","Turkey","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20",""
"From 28 days to less than 1 year","European Union (current composition)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","31.4",""
"From 28 days to less than 1 year","Belgium","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","32.86",""
"From 28 days to less than 1 year","Bulgaria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","42.28",""
"From 28 days to less than 1 year","Czechia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","34.73",""
"From 28 days to less than 1 year","Denmark","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","22.71",""
"From 28 days to less than 1 year","Germany (until 1990 former territory of the FRG)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","29.65",""
"From 28 days to less than 1 year","Estonia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","41.18",""
"From 28 days to less than 1 year","Ireland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","29.26",""
"From 28 days to less than 1 year","Greece","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","30.97",""
"From 28 days to less than 1 year","Spain","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.66",""
"From 28 days to less than 1 year","France","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","30.67",""
"From 28 days to less than 1 year","Croatia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.74",""
"From 28 days to less than 1 year","Italy","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"From 28 days to less than 1 year","Cyprus","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","27.78",""
"From 28 days to less than 1 year","Latvia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.19",""
"From 28 days to less than 1 year","Lithuania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","36.21",""
"From 28 days to less than 1 year","Luxembourg","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","33.33",""
"From 28 days to less than 1 year","Hungary","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","35.95",""
"From 28 days to less than 1 year","Malta","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","23.81",""
"From 28 days to less than 1 year","Netherlands","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","24.7",""
"From 28 days to less than 1 year","Austria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25",""
"From 28 days to less than 1 year","Poland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","31.66",""
"From 28 days to less than 1 year","Portugal","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"From 28 days to less than 1 year","Romania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","40.23",""
"From 28 days to less than 1 year","Slovenia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","28.95",""
"From 28 days to less than 1 year","Slovakia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","42.59",""
"From 28 days to less than 1 year","Finland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","34.96",""
"From 28 days to less than 1 year","Sweden","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","34",""
"From 28 days to less than 1 year","United Kingdom","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","29.78",""
"From 28 days to less than 1 year","Iceland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"From 28 days to less than 1 year","Liechtenstein","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"From 28 days to less than 1 year","Norway","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","23.94",""
"From 28 days to less than 1 year","Switzerland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.12",""
"From 28 days to less than 1 year","Serbia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","24.47",""
"From 28 days to less than 1 year","Turkey","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","34.81",""
