"AGE","SEX","GEO","HLTH_PB","TIME","ISCED11","UNIT","Value","Flag and Footnotes"
"Total","Females","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.8",""
"Total","Females","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.1",""
"Total","Females","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.0",""
"Total","Females","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.0",""
"Total","Females","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.4",""
"Total","Females","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.0",""
"Total","Females","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.0",""
"Total","Females","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"Total","Females","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"Total","Females","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.5",""
"Total","Females","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6",""
"Total","Females","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"Total","Females","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.1",""
"Total","Females","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","12.1",""
"Total","Females","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.9",""
"Total","Females","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.4",""
"Total","Females","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.4",""
"Total","Females","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","13.8",""
"Total","Females","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.2",""
"Total","Females","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.9",""
"Total","Females","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.8",""
"Total","Females","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.6",""
"Total","Females","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.0",""
"Total","Females","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.9",""
"Total","Females","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.8",""
"Total","Females","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.0",""
"Total","Females","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.5",""
"From 15 to 19 years","Total","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.8","e"
"From 15 to 19 years","Total","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 15 to 19 years","Total","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.5",""
"From 15 to 19 years","Total","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.0",""
"From 15 to 19 years","Total","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.0",""
"From 15 to 19 years","Total","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.9",""
"From 15 to 19 years","Total","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.1",""
"From 15 to 19 years","Total","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.2",""
"From 15 to 19 years","Total","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.1",""
"From 15 to 19 years","Total","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.1",""
"From 15 to 19 years","Total","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Total","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 15 to 19 years","Total","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.7",""
"From 15 to 19 years","Total","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.6",""
"From 15 to 19 years","Total","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Total","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.2",""
"From 15 to 19 years","Total","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 15 to 19 years","Total","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.5",""
"From 15 to 19 years","Total","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"From 15 to 19 years","Total","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 15 to 19 years","Total","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 15 to 19 years","Total","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.5",""
"From 15 to 19 years","Total","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.5",""
"From 15 to 19 years","Total","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Total","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.3",""
"From 15 to 19 years","Total","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.6",""
"From 15 to 19 years","Total","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.0",""
"From 15 to 19 years","Total","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","13.9",""
"From 15 to 19 years","Total","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.1",""
"From 15 to 19 years","Total","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.6",""
"From 15 to 19 years","Males","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.0","e"
"From 15 to 19 years","Males","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.2",""
"From 15 to 19 years","Males","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.5",""
"From 15 to 19 years","Males","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.8",""
"From 15 to 19 years","Males","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.1",""
"From 15 to 19 years","Males","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.1",""
"From 15 to 19 years","Males","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.4",""
"From 15 to 19 years","Males","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Males","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.6",""
"From 15 to 19 years","Males","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 15 to 19 years","Males","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Males","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.1",""
"From 15 to 19 years","Males","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 15 to 19 years","Males","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.0",""
"From 15 to 19 years","Males","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Males","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.5",""
"From 15 to 19 years","Males","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 15 to 19 years","Males","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.9",""
"From 15 to 19 years","Males","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"From 15 to 19 years","Males","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.7",""
"From 15 to 19 years","Males","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 15 to 19 years","Males","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.3",""
"From 15 to 19 years","Males","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.8",""
"From 15 to 19 years","Males","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Males","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.4",""
"From 15 to 19 years","Males","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.3",""
"From 15 to 19 years","Males","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.0",""
"From 15 to 19 years","Males","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.5",""
"From 15 to 19 years","Males","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.9",""
"From 15 to 19 years","Males","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 15 to 19 years","Females","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.8","e"
"From 15 to 19 years","Females","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 15 to 19 years","Females","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.6",""
"From 15 to 19 years","Females","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","17.6",""
"From 15 to 19 years","Females","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","15.1",""
"From 15 to 19 years","Females","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.8",""
"From 15 to 19 years","Females","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","14.6",""
"From 15 to 19 years","Females","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.3",""
"From 15 to 19 years","Females","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 15 to 19 years","Females","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6",""
"From 15 to 19 years","Females","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Females","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.4",""
"From 15 to 19 years","Females","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.6",""
"From 15 to 19 years","Females","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.2",""
"From 15 to 19 years","Females","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Females","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","12.6",""
"From 15 to 19 years","Females","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.6",""
"From 15 to 19 years","Females","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.3",""
"From 15 to 19 years","Females","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"From 15 to 19 years","Females","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 15 to 19 years","Females","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 15 to 19 years","Females","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 15 to 19 years","Females","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.3",""
"From 15 to 19 years","Females","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 19 years","Females","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.2",""
"From 15 to 19 years","Females","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","17.5",""
"From 15 to 19 years","Females","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.5",""
"From 15 to 19 years","Females","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","20.3",""
"From 15 to 19 years","Females","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.4",""
"From 15 to 19 years","Females","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.0",""
"From 15 to 24 years","Total","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3","e"
"From 15 to 24 years","Total","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.4",""
"From 15 to 24 years","Total","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.7",""
"From 15 to 24 years","Total","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.4",""
"From 15 to 24 years","Total","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","12.0",""
"From 15 to 24 years","Total","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.6",""
"From 15 to 24 years","Total","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.8",""
"From 15 to 24 years","Total","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 15 to 24 years","Total","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 15 to 24 years","Total","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.0",""
"From 15 to 24 years","Total","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.7",""
"From 15 to 24 years","Total","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 15 to 24 years","Total","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.2",""
"From 15 to 24 years","Total","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.7",""
"From 15 to 24 years","Total","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.8",""
"From 15 to 24 years","Total","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.0",""
"From 15 to 24 years","Total","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.5",""
"From 15 to 24 years","Total","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.0",""
"From 15 to 24 years","Total","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7",""
"From 15 to 24 years","Total","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 15 to 24 years","Total","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 15 to 24 years","Total","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.3",""
"From 15 to 24 years","Total","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.9",""
"From 15 to 24 years","Total","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.1",""
"From 15 to 24 years","Total","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.0",""
"From 15 to 24 years","Total","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.5",""
"From 15 to 24 years","Total","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.4",""
"From 15 to 24 years","Total","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","13.6",""
"From 15 to 24 years","Total","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.5",""
"From 15 to 24 years","Total","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7",""
"From 15 to 24 years","Males","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.0","e"
"From 15 to 24 years","Males","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 15 to 24 years","Males","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.6",""
"From 15 to 24 years","Males","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 15 to 24 years","Males","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.8",""
"From 15 to 24 years","Males","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 15 to 24 years","Males","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.3",""
"From 15 to 24 years","Males","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 15 to 24 years","Males","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.3",""
"From 15 to 24 years","Males","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 15 to 24 years","Males","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 15 to 24 years","Males","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 15 to 24 years","Males","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 15 to 24 years","Males","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.6",""
"From 15 to 24 years","Males","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.0",""
"From 15 to 24 years","Males","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.4",""
"From 15 to 24 years","Males","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 15 to 24 years","Males","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.6",""
"From 15 to 24 years","Males","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"From 15 to 24 years","Males","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 15 to 24 years","Males","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.0",""
"From 15 to 24 years","Males","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.1",""
"From 15 to 24 years","Males","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.7",""
"From 15 to 24 years","Males","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.1",""
"From 15 to 24 years","Males","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.9",""
"From 15 to 24 years","Males","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.0",""
"From 15 to 24 years","Males","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.2",""
"From 15 to 24 years","Males","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.0",""
"From 15 to 24 years","Males","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.1",""
"From 15 to 24 years","Males","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.9",""
"From 15 to 24 years","Females","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.7","e"
"From 15 to 24 years","Females","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.5",""
"From 15 to 24 years","Females","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.9",""
"From 15 to 24 years","Females","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","14.7",""
"From 15 to 24 years","Females","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","14.3",""
"From 15 to 24 years","Females","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.6",""
"From 15 to 24 years","Females","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.4",""
"From 15 to 24 years","Females","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 15 to 24 years","Females","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 15 to 24 years","Females","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"From 15 to 24 years","Females","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 15 to 24 years","Females","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.3",""
"From 15 to 24 years","Females","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.5",""
"From 15 to 24 years","Females","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7",""
"From 15 to 24 years","Females","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.6",""
"From 15 to 24 years","Females","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","14.1",""
"From 15 to 24 years","Females","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.6",""
"From 15 to 24 years","Females","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.5",""
"From 15 to 24 years","Females","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6",""
"From 15 to 24 years","Females","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 15 to 24 years","Females","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.4",""
