"SEX","AGE","GEO","UNIT","TIME","ISCED11","Value","Flag and Footnotes"
"Total","From 15 to 44 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 15 to 44 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","2.6",""
"Total","From 15 to 44 years","Hungary","Percentage","2014","All ISCED 2011 levels ","0.9",""
"Total","From 15 to 44 years","Malta","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 15 to 44 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","3.1",""
"Total","From 15 to 44 years","Austria","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 44 years","Poland","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 15 to 44 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 15 to 44 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 44 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","1.4",""
"Total","From 15 to 44 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0.0",""
"Total","From 15 to 44 years","Finland","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 15 to 44 years","Sweden","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 44 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","3.4",""
"Total","From 15 to 44 years","Iceland","Percentage","2014","All ISCED 2011 levels ","5.1",""
"Total","From 15 to 44 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 15 to 44 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 15 to 64 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","2.1",""
"Total","From 15 to 64 years","Belgium","Percentage","2014","All ISCED 2011 levels ","5.8",""
"Total","From 15 to 64 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","1.6",""
"Total","From 15 to 64 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 64 years","Denmark","Percentage","2014","All ISCED 2011 levels ","2.3",""
"Total","From 15 to 64 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 15 to 64 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 64 years","Ireland","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 15 to 64 years","Greece","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 15 to 64 years","Spain","Percentage","2014","All ISCED 2011 levels ","1.4",""
"Total","From 15 to 64 years","France","Percentage","2014","All ISCED 2011 levels ","5.9",""
"Total","From 15 to 64 years","Croatia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 64 years","Italy","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 15 to 64 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 64 years","Latvia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 64 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 64 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","2.8",""
"Total","From 15 to 64 years","Hungary","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 15 to 64 years","Malta","Percentage","2014","All ISCED 2011 levels ","1.4",""
"Total","From 15 to 64 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","3.3",""
"Total","From 15 to 64 years","Austria","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 64 years","Poland","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 15 to 64 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 15 to 64 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 15 to 64 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 15 to 64 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 15 to 64 years","Finland","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","From 15 to 64 years","Sweden","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 15 to 64 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","2.8",""
"Total","From 15 to 64 years","Iceland","Percentage","2014","All ISCED 2011 levels ","3.8",""
"Total","From 15 to 64 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 15 to 64 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 25 to 34 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","2.7",""
"Total","From 25 to 34 years","Belgium","Percentage","2014","All ISCED 2011 levels ","6.2",""
"Total","From 25 to 34 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 25 to 34 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 25 to 34 years","Denmark","Percentage","2014","All ISCED 2011 levels ","3.5",""
"Total","From 25 to 34 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","2.9",""
"Total","From 25 to 34 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 25 to 34 years","Ireland","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","From 25 to 34 years","Greece","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 25 to 34 years","Spain","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 25 to 34 years","France","Percentage","2014","All ISCED 2011 levels ","6.5",""
"Total","From 25 to 34 years","Croatia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 25 to 34 years","Italy","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 25 to 34 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 25 to 34 years","Latvia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 25 to 34 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 25 to 34 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","2.7",""
"Total","From 25 to 34 years","Hungary","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 25 to 34 years","Malta","Percentage","2014","All ISCED 2011 levels ","0.9",""
"Total","From 25 to 34 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","4.6",""
"Total","From 25 to 34 years","Austria","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 25 to 34 years","Poland","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 25 to 34 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 25 to 34 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 25 to 34 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","2.6",""
"Total","From 25 to 34 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 25 to 34 years","Finland","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","From 25 to 34 years","Sweden","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 25 to 34 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","4.6",""
"Total","From 25 to 34 years","Iceland","Percentage","2014","All ISCED 2011 levels ","8.4",""
"Total","From 25 to 34 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 25 to 34 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 35 to 44 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","2.1",""
"Total","From 35 to 44 years","Belgium","Percentage","2014","All ISCED 2011 levels ","7.0",""
"Total","From 35 to 44 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","From 35 to 44 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 35 to 44 years","Denmark","Percentage","2014","All ISCED 2011 levels ","2.0",""
"Total","From 35 to 44 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","2.1",""
"Total","From 35 to 44 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 35 to 44 years","Ireland","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 35 to 44 years","Greece","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 35 to 44 years","Spain","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 35 to 44 years","France","Percentage","2014","All ISCED 2011 levels ","5.8",""
"Total","From 35 to 44 years","Croatia","Percentage","2014","All ISCED 2011 levels ","0.1",""
"Total","From 35 to 44 years","Italy","Percentage","2014","All ISCED 2011 levels ","0.9",""
"Total","From 35 to 44 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 35 to 44 years","Latvia","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 35 to 44 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 35 to 44 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","2.6",""
"Total","From 35 to 44 years","Hungary","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 35 to 44 years","Malta","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","From 35 to 44 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","3.1",""
"Total","From 35 to 44 years","Austria","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 35 to 44 years","Poland","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 35 to 44 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 35 to 44 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 35 to 44 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 35 to 44 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0.1",""
"Total","From 35 to 44 years","Finland","Percentage","2014","All ISCED 2011 levels ","1.8",""
"Total","From 35 to 44 years","Sweden","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 35 to 44 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","2.9",""
"Total","From 35 to 44 years","Iceland","Percentage","2014","All ISCED 2011 levels ","3.9",""
"Total","From 35 to 44 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 35 to 44 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 45 to 54 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","1.9",""
"Total","From 45 to 54 years","Belgium","Percentage","2014","All ISCED 2011 levels ","6.1",""
"Total","From 45 to 54 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","1.8",""
"Total","From 45 to 54 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.1",""
"Total","From 45 to 54 years","Denmark","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","From 45 to 54 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 45 to 54 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 45 to 54 years","Ireland","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 45 to 54 years","Greece","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 45 to 54 years","Spain","Percentage","2014","All ISCED 2011 levels ","1.6",""
"Total","From 45 to 54 years","France","Percentage","2014","All ISCED 2011 levels ","6.3",""
"Total","From 45 to 54 years","Croatia","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 45 to 54 years","Italy","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 45 to 54 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 45 to 54 years","Latvia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 45 to 54 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 45 to 54 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","2.4",""
"Total","From 45 to 54 years","Hungary","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 45 to 54 years","Malta","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 45 to 54 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","3.2",""
"Total","From 45 to 54 years","Austria","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 45 to 54 years","Poland","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 45 to 54 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 45 to 54 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 45 to 54 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 45 to 54 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 45 to 54 years","Finland","Percentage","2014","All ISCED 2011 levels ","2.2",""
"Total","From 45 to 54 years","Sweden","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 45 to 54 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 45 to 54 years","Iceland","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 45 to 54 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 45 to 54 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 45 to 64 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","2.3",""
"Total","From 45 to 64 years","Belgium","Percentage","2014","All ISCED 2011 levels ","6.7",""
"Total","From 45 to 64 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","2.2",""
"Total","From 45 to 64 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 45 to 64 years","Denmark","Percentage","2014","All ISCED 2011 levels ","2.7",""
"Total","From 45 to 64 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 45 to 64 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 45 to 64 years","Ireland","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 45 to 64 years","Greece","Percentage","2014","All ISCED 2011 levels ","1.9",""
"Total","From 45 to 64 years","Spain","Percentage","2014","All ISCED 2011 levels ","2.0",""
"Total","From 45 to 64 years","France","Percentage","2014","All ISCED 2011 levels ","6.8",""
"Total","From 45 to 64 years","Croatia","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 45 to 64 years","Italy","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 45 to 64 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 45 to 64 years","Latvia","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 45 to 64 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 45 to 64 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","3.1",""
"Total","From 45 to 64 years","Hungary","Percentage","2014","All ISCED 2011 levels ","1.8",""
"Total","From 45 to 64 years","Malta","Percentage","2014","All ISCED 2011 levels ","1.8",""
"Total","From 45 to 64 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","3.6",""
"Total","From 45 to 64 years","Austria","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 45 to 64 years","Poland","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 45 to 64 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 45 to 64 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 45 to 64 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 45 to 64 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 45 to 64 years","Finland","Percentage","2014","All ISCED 2011 levels ","2.3",""
"Total","From 45 to 64 years","Sweden","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 45 to 64 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","2.1",""
"Total","From 45 to 64 years","Iceland","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 45 to 64 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 45 to 64 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 55 to 64 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","2.7",""
"Total","From 55 to 64 years","Belgium","Percentage","2014","All ISCED 2011 levels ","7.4",""
"Total","From 55 to 64 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","2.5",""
"Total","From 55 to 64 years","Czechia","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 55 to 64 years","Denmark","Percentage","2014","All ISCED 2011 levels ","3.9",""
"Total","From 55 to 64 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 55 to 64 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0.1",""
"Total","From 55 to 64 years","Ireland","Percentage","2014","All ISCED 2011 levels ","2.1",""
"Total","From 55 to 64 years","Greece","Percentage","2014","All ISCED 2011 levels ","2.5",""
"Total","From 55 to 64 years","Spain","Percentage","2014","All ISCED 2011 levels ","2.4",""
"Total","From 55 to 64 years","France","Percentage","2014","All ISCED 2011 levels ","7.4",""
"Total","From 55 to 64 years","Croatia","Percentage","2014","All ISCED 2011 levels ","1.6",""
"Total","From 55 to 64 years","Italy","Percentage","2014","All ISCED 2011 levels ","1.8",""
"Total","From 55 to 64 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 55 to 64 years","Latvia","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 55 to 64 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","0.9",""
