"SEX","GEO","TIME","AGE","ICD10","RESID","UNIT","Value","Flag and Footnotes"
"Females","Austria","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","119",""
"Females","Poland","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","716",""
"Females","Portugal","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","0",""
"Females","Romania","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","657",""
"Females","Slovenia","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","19",""
"Females","Slovakia","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","153",""
"Females","Finland","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","56",""
"Females","Sweden","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","100",""
"Females","United Kingdom","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","1,296",""
"Females","Iceland","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number",":","c"
"Females","Liechtenstein","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","0",""
"Females","Norway","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","66",""
"Females","Switzerland","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","137",""
"Females","Serbia","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","153",""
"Females","Turkey","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","Number","6,254",""
