"ISCO08","TIME","GEO","UNIT","Value","Flag and Footnotes"
"Medical doctors","2001","Serbia","Per hundred thousand inhabitants","10.50",""
"Medical doctors","2001","Turkey","Per hundred thousand inhabitants","7.20",""
"Medical doctors","2002","European Union (current composition)","Per hundred thousand inhabitants","9.70",""
"Medical doctors","2002","Belgium","Per hundred thousand inhabitants","10.22",""
"Medical doctors","2002","Bulgaria","Per hundred thousand inhabitants","9.85",""
"Medical doctors","2002","Czechia","Per hundred thousand inhabitants","8.29",""
"Medical doctors","2002","Denmark","Per hundred thousand inhabitants","15.72",""
"Medical doctors","2002","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","10.73",""
"Medical doctors","2002","Estonia","Per hundred thousand inhabitants","6.62",""
"Medical doctors","2002","Ireland","Per hundred thousand inhabitants","14.45",""
"Medical doctors","2002","Greece","Per hundred thousand inhabitants",":",""
"Medical doctors","2002","Spain","Per hundred thousand inhabitants","9.92",""
"Medical doctors","2002","France","Per hundred thousand inhabitants","5.24",""
"Medical doctors","2002","Croatia","Per hundred thousand inhabitants","9.32",""
"Medical doctors","2002","Italy","Per hundred thousand inhabitants","12.25",""
"Medical doctors","2002","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2002","Latvia","Per hundred thousand inhabitants","4.62",""
"Medical doctors","2002","Lithuania","Per hundred thousand inhabitants","8.62",""
"Medical doctors","2002","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2002","Hungary","Per hundred thousand inhabitants","10.21",""
"Medical doctors","2002","Malta","Per hundred thousand inhabitants",":",""
"Medical doctors","2002","Netherlands","Per hundred thousand inhabitants","9.73",""
"Medical doctors","2002","Austria","Per hundred thousand inhabitants","21.99",""
"Medical doctors","2002","Poland","Per hundred thousand inhabitants","6.63",""
"Medical doctors","2002","Portugal","Per hundred thousand inhabitants","5.31",""
"Medical doctors","2002","Romania","Per hundred thousand inhabitants","14.56",""
"Medical doctors","2002","Slovenia","Per hundred thousand inhabitants","7.57",""
"Medical doctors","2002","Slovakia","Per hundred thousand inhabitants","9.93",""
"Medical doctors","2002","Finland","Per hundred thousand inhabitants","7.00",""
"Medical doctors","2002","Sweden","Per hundred thousand inhabitants","8.68",""
"Medical doctors","2002","United Kingdom","Per hundred thousand inhabitants","9.19","b"
"Medical doctors","2002","Iceland","Per hundred thousand inhabitants","13.22",""
"Medical doctors","2002","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2002","Norway","Per hundred thousand inhabitants","8.33",""
"Medical doctors","2002","Switzerland","Per hundred thousand inhabitants","9.62",""
"Medical doctors","2002","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","5.37",""
"Medical doctors","2002","Albania","Per hundred thousand inhabitants","5.56",""
"Medical doctors","2002","Serbia","Per hundred thousand inhabitants","9.94",""
"Medical doctors","2002","Turkey","Per hundred thousand inhabitants","6.86",""
"Medical doctors","2003","European Union (current composition)","Per hundred thousand inhabitants","10.04",""
"Medical doctors","2003","Belgium","Per hundred thousand inhabitants","11.50",""
"Medical doctors","2003","Bulgaria","Per hundred thousand inhabitants","7.73",""
"Medical doctors","2003","Czechia","Per hundred thousand inhabitants","9.87",""
"Medical doctors","2003","Denmark","Per hundred thousand inhabitants","17.22",""
"Medical doctors","2003","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","10.84",""
"Medical doctors","2003","Estonia","Per hundred thousand inhabitants","7.61",""
"Medical doctors","2003","Ireland","Per hundred thousand inhabitants","15.21",""
"Medical doctors","2003","Greece","Per hundred thousand inhabitants",":",""
"Medical doctors","2003","Spain","Per hundred thousand inhabitants","9.54",""
"Medical doctors","2003","France","Per hundred thousand inhabitants","6.17",""
"Medical doctors","2003","Croatia","Per hundred thousand inhabitants","9.23",""
"Medical doctors","2003","Italy","Per hundred thousand inhabitants","12.64",""
"Medical doctors","2003","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2003","Latvia","Per hundred thousand inhabitants","4.47",""
"Medical doctors","2003","Lithuania","Per hundred thousand inhabitants","7.64",""
"Medical doctors","2003","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2003","Hungary","Per hundred thousand inhabitants","9.63",""
"Medical doctors","2003","Malta","Per hundred thousand inhabitants","9.28",""
"Medical doctors","2003","Netherlands","Per hundred thousand inhabitants","10.19",""
"Medical doctors","2003","Austria","Per hundred thousand inhabitants","18.70",""
"Medical doctors","2003","Poland","Per hundred thousand inhabitants","6.57",""
"Medical doctors","2003","Portugal","Per hundred thousand inhabitants","5.78",""
"Medical doctors","2003","Romania","Per hundred thousand inhabitants","15.03",""
"Medical doctors","2003","Slovenia","Per hundred thousand inhabitants","8.17",""
"Medical doctors","2003","Slovakia","Per hundred thousand inhabitants","10.65",""
"Medical doctors","2003","Finland","Per hundred thousand inhabitants","8.59",""
"Medical doctors","2003","Sweden","Per hundred thousand inhabitants","9.38",""
"Medical doctors","2003","United Kingdom","Per hundred thousand inhabitants","10.34",""
"Medical doctors","2003","Iceland","Per hundred thousand inhabitants","10.36",""
"Medical doctors","2003","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2003","Norway","Per hundred thousand inhabitants","10.12",""
"Medical doctors","2003","Switzerland","Per hundred thousand inhabitants","8.52",""
"Medical doctors","2003","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","8.19",""
"Medical doctors","2003","Albania","Per hundred thousand inhabitants","6.20",""
"Medical doctors","2003","Serbia","Per hundred thousand inhabitants","10.77",""
"Medical doctors","2003","Turkey","Per hundred thousand inhabitants","6.24",""
"Medical doctors","2004","European Union (current composition)","Per hundred thousand inhabitants","9.99",""
"Medical doctors","2004","Belgium","Per hundred thousand inhabitants","8.01",""
"Medical doctors","2004","Bulgaria","Per hundred thousand inhabitants","6.97",""
"Medical doctors","2004","Czechia","Per hundred thousand inhabitants","9.97",""
"Medical doctors","2004","Denmark","Per hundred thousand inhabitants","20.02",""
"Medical doctors","2004","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","10.78",""
"Medical doctors","2004","Estonia","Per hundred thousand inhabitants","7.19",""
"Medical doctors","2004","Ireland","Per hundred thousand inhabitants","15.67",""
"Medical doctors","2004","Greece","Per hundred thousand inhabitants",":",""
"Medical doctors","2004","Spain","Per hundred thousand inhabitants","9.86",""
"Medical doctors","2004","France","Per hundred thousand inhabitants","5.70",""
"Medical doctors","2004","Croatia","Per hundred thousand inhabitants","10.87",""
"Medical doctors","2004","Italy","Per hundred thousand inhabitants","11.37",""
"Medical doctors","2004","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2004","Latvia","Per hundred thousand inhabitants","3.68",""
"Medical doctors","2004","Lithuania","Per hundred thousand inhabitants","7.13",""
"Medical doctors","2004","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2004","Hungary","Per hundred thousand inhabitants","11.12",""
"Medical doctors","2004","Malta","Per hundred thousand inhabitants","11.96",""
"Medical doctors","2004","Netherlands","Per hundred thousand inhabitants","10.47",""
"Medical doctors","2004","Austria","Per hundred thousand inhabitants","20.13",""
"Medical doctors","2004","Poland","Per hundred thousand inhabitants","6.82",""
"Medical doctors","2004","Portugal","Per hundred thousand inhabitants","6.61",""
"Medical doctors","2004","Romania","Per hundred thousand inhabitants","15.55",""
"Medical doctors","2004","Slovenia","Per hundred thousand inhabitants","7.61",""
"Medical doctors","2004","Slovakia","Per hundred thousand inhabitants","10.59",""
"Medical doctors","2004","Finland","Per hundred thousand inhabitants","6.60",""
"Medical doctors","2004","Sweden","Per hundred thousand inhabitants","8.90",""
"Medical doctors","2004","United Kingdom","Per hundred thousand inhabitants","11.07",""
"Medical doctors","2004","Iceland","Per hundred thousand inhabitants","11.98",""
"Medical doctors","2004","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2004","Norway","Per hundred thousand inhabitants","10.13",""
"Medical doctors","2004","Switzerland","Per hundred thousand inhabitants","9.13",""
"Medical doctors","2004","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","11.41",""
"Medical doctors","2004","Albania","Per hundred thousand inhabitants",":",""
"Medical doctors","2004","Serbia","Per hundred thousand inhabitants","12.47",""
"Medical doctors","2004","Turkey","Per hundred thousand inhabitants","6.31",""
"Medical doctors","2005","European Union (current composition)","Per hundred thousand inhabitants","9.79",""
"Medical doctors","2005","Belgium","Per hundred thousand inhabitants","7.28",""
"Medical doctors","2005","Bulgaria","Per hundred thousand inhabitants","6.06",""
"Medical doctors","2005","Czechia","Per hundred thousand inhabitants","10.44",""
"Medical doctors","2005","Denmark","Per hundred thousand inhabitants","21.26",""
"Medical doctors","2005","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","10.76",""
"Medical doctors","2005","Estonia","Per hundred thousand inhabitants","7.87",""
"Medical doctors","2005","Ireland","Per hundred thousand inhabitants","14.28",""
"Medical doctors","2005","Greece","Per hundred thousand inhabitants","13.26",""
"Medical doctors","2005","Spain","Per hundred thousand inhabitants","9.36",""
"Medical doctors","2005","France","Per hundred thousand inhabitants","5.46",""
"Medical doctors","2005","Croatia","Per hundred thousand inhabitants","9.63",""
"Medical doctors","2005","Italy","Per hundred thousand inhabitants","10.95",""
"Medical doctors","2005","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2005","Latvia","Per hundred thousand inhabitants","4.09",""
"Medical doctors","2005","Lithuania","Per hundred thousand inhabitants","6.33",""
"Medical doctors","2005","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2005","Hungary","Per hundred thousand inhabitants","11.41",""
"Medical doctors","2005","Malta","Per hundred thousand inhabitants","11.89",""
"Medical doctors","2005","Netherlands","Per hundred thousand inhabitants","10.76",""
"Medical doctors","2005","Austria","Per hundred thousand inhabitants","19.07",""
"Medical doctors","2005","Poland","Per hundred thousand inhabitants","6.15",""
"Medical doctors","2005","Portugal","Per hundred thousand inhabitants","6.98",""
"Medical doctors","2005","Romania","Per hundred thousand inhabitants","14.77",""
"Medical doctors","2005","Slovenia","Per hundred thousand inhabitants","8.10",""
"Medical doctors","2005","Slovakia","Per hundred thousand inhabitants","10.34",""
"Medical doctors","2005","Finland","Per hundred thousand inhabitants","6.42",""
"Medical doctors","2005","Sweden","Per hundred thousand inhabitants","8.92",""
"Medical doctors","2005","United Kingdom","Per hundred thousand inhabitants","11.32",""
"Medical doctors","2005","Iceland","Per hundred thousand inhabitants","14.83",""
"Medical doctors","2005","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2005","Norway","Per hundred thousand inhabitants","10.10",""
"Medical doctors","2005","Switzerland","Per hundred thousand inhabitants","8.36",""
"Medical doctors","2005","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","8.10",""
"Medical doctors","2005","Albania","Per hundred thousand inhabitants",":",""
"Medical doctors","2005","Serbia","Per hundred thousand inhabitants","12.97",""
"Medical doctors","2005","Turkey","Per hundred thousand inhabitants","6.24",""
"Medical doctors","2006","European Union (current composition)","Per hundred thousand inhabitants","9.72",""
"Medical doctors","2006","Belgium","Per hundred thousand inhabitants","6.46",""
"Medical doctors","2006","Bulgaria","Per hundred thousand inhabitants","5.53",""
"Medical doctors","2006","Czechia","Per hundred thousand inhabitants","10.14",""
"Medical doctors","2006","Denmark","Per hundred thousand inhabitants","20.64",""
"Medical doctors","2006","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","10.59",""
"Medical doctors","2006","Estonia","Per hundred thousand inhabitants","9.53",""
"Medical doctors","2006","Ireland","Per hundred thousand inhabitants","15.05",""
"Medical doctors","2006","Greece","Per hundred thousand inhabitants","14.67",""
"Medical doctors","2006","Spain","Per hundred thousand inhabitants","8.96",""
"Medical doctors","2006","France","Per hundred thousand inhabitants","5.29",""
"Medical doctors","2006","Croatia","Per hundred thousand inhabitants","10.15",""
"Medical doctors","2006","Italy","Per hundred thousand inhabitants","10.42",""
"Medical doctors","2006","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2006","Latvia","Per hundred thousand inhabitants","5.42",""
"Medical doctors","2006","Lithuania","Per hundred thousand inhabitants","7.63",""
"Medical doctors","2006","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2006","Hungary","Per hundred thousand inhabitants","10.61",""
"Medical doctors","2006","Malta","Per hundred thousand inhabitants","14.76",""
"Medical doctors","2006","Netherlands","Per hundred thousand inhabitants","11.27",""
"Medical doctors","2006","Austria","Per hundred thousand inhabitants","17.61",""
"Medical doctors","2006","Poland","Per hundred thousand inhabitants","6.05",""
"Medical doctors","2006","Portugal","Per hundred thousand inhabitants","7.67",""
"Medical doctors","2006","Romania","Per hundred thousand inhabitants","13.53",""
"Medical doctors","2006","Slovenia","Per hundred thousand inhabitants","6.38",""
"Medical doctors","2006","Slovakia","Per hundred thousand inhabitants","9.44",""
"Medical doctors","2006","Finland","Per hundred thousand inhabitants","7.50",""
"Medical doctors","2006","Sweden","Per hundred thousand inhabitants","10.02",""
"Medical doctors","2006","United Kingdom","Per hundred thousand inhabitants","12.20",""
"Medical doctors","2006","Iceland","Per hundred thousand inhabitants","13.17",""
"Medical doctors","2006","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2006","Norway","Per hundred thousand inhabitants","9.89",""
"Medical doctors","2006","Switzerland","Per hundred thousand inhabitants","7.94",""
"Medical doctors","2006","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","9.12",""
"Medical doctors","2006","Albania","Per hundred thousand inhabitants",":",""
"Medical doctors","2006","Serbia","Per hundred thousand inhabitants","11.20",""
"Medical doctors","2006","Turkey","Per hundred thousand inhabitants","6.37",""
"Medical doctors","2007","European Union (current composition)","Per hundred thousand inhabitants","10.29",""
"Medical doctors","2007","Belgium","Per hundred thousand inhabitants","6.89",""
"Medical doctors","2007","Bulgaria","Per hundred thousand inhabitants","5.94",""
"Medical doctors","2007","Czechia","Per hundred thousand inhabitants","10.72",""
"Medical doctors","2007","Denmark","Per hundred thousand inhabitants","21.83",""
"Medical doctors","2007","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","11.64",""
"Medical doctors","2007","Estonia","Per hundred thousand inhabitants","7.90",""
"Medical doctors","2007","Ireland","Per hundred thousand inhabitants","16.66",""
"Medical doctors","2007","Greece","Per hundred thousand inhabitants","14.29",""
"Medical doctors","2007","Spain","Per hundred thousand inhabitants","8.56",""
"Medical doctors","2007","France","Per hundred thousand inhabitants","6.03",""
"Medical doctors","2007","Croatia","Per hundred thousand inhabitants","10.52",""
"Medical doctors","2007","Italy","Per hundred thousand inhabitants","11.48",""
"Medical doctors","2007","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2007","Latvia","Per hundred thousand inhabitants","4.88",""
"Medical doctors","2007","Lithuania","Per hundred thousand inhabitants","7.82",""
"Medical doctors","2007","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2007","Hungary","Per hundred thousand inhabitants","9.99",""
"Medical doctors","2007","Malta","Per hundred thousand inhabitants","14.67",""
"Medical doctors","2007","Netherlands","Per hundred thousand inhabitants","12.32",""
"Medical doctors","2007","Austria","Per hundred thousand inhabitants","22.11","b"
"Medical doctors","2007","Poland","Per hundred thousand inhabitants","6.69",""
"Medical doctors","2007","Portugal","Per hundred thousand inhabitants","9.70",""
"Medical doctors","2007","Romania","Per hundred thousand inhabitants","12.74",""
"Medical doctors","2007","Slovenia","Per hundred thousand inhabitants","6.42",""
"Medical doctors","2007","Slovakia","Per hundred thousand inhabitants","9.91",""
"Medical doctors","2007","Finland","Per hundred thousand inhabitants","6.94",""
"Medical doctors","2007","Sweden","Per hundred thousand inhabitants","10.19",""
"Medical doctors","2007","United Kingdom","Per hundred thousand inhabitants","12.33",""
"Medical doctors","2007","Iceland","Per hundred thousand inhabitants","11.55",""
"Medical doctors","2007","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2007","Norway","Per hundred thousand inhabitants","10.55",""
"Medical doctors","2007","Switzerland","Per hundred thousand inhabitants","8.10",""
"Medical doctors","2007","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","8.42",""
"Medical doctors","2007","Albania","Per hundred thousand inhabitants",":",""
"Medical doctors","2007","Serbia","Per hundred thousand inhabitants","17.67",""
"Medical doctors","2007","Turkey","Per hundred thousand inhabitants","6.95",""
"Medical doctors","2008","European Union (current composition)","Per hundred thousand inhabitants","10.40",""
"Medical doctors","2008","Belgium","Per hundred thousand inhabitants","7.08",""
"Medical doctors","2008","Bulgaria","Per hundred thousand inhabitants","7.61",""
"Medical doctors","2008","Czechia","Per hundred thousand inhabitants","11.16",""
"Medical doctors","2008","Denmark","Per hundred thousand inhabitants","20.41",""
"Medical doctors","2008","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","12.00",""
"Medical doctors","2008","Estonia","Per hundred thousand inhabitants","8.35",""
"Medical doctors","2008","Ireland","Per hundred thousand inhabitants","15.21",""
"Medical doctors","2008","Greece","Per hundred thousand inhabitants","12.62",""
"Medical doctors","2008","Spain","Per hundred thousand inhabitants","8.61",""
"Medical doctors","2008","France","Per hundred thousand inhabitants","5.49","b"
"Medical doctors","2008","Croatia","Per hundred thousand inhabitants","10.64",""
"Medical doctors","2008","Italy","Per hundred thousand inhabitants","11.36",""
"Medical doctors","2008","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2008","Latvia","Per hundred thousand inhabitants","6.18","b"
"Medical doctors","2008","Lithuania","Per hundred thousand inhabitants","9.59",""
"Medical doctors","2008","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2008","Hungary","Per hundred thousand inhabitants","9.56",""
"Medical doctors","2008","Malta","Per hundred thousand inhabitants","12.14",""
"Medical doctors","2008","Netherlands","Per hundred thousand inhabitants","12.30",""
"Medical doctors","2008","Austria","Per hundred thousand inhabitants","21.76",""
"Medical doctors","2008","Poland","Per hundred thousand inhabitants","7.15",""
"Medical doctors","2008","Portugal","Per hundred thousand inhabitants","10.36",""
"Medical doctors","2008","Romania","Per hundred thousand inhabitants","11.82",""
"Medical doctors","2008","Slovenia","Per hundred thousand inhabitants","8.61",""
"Medical doctors","2008","Slovakia","Per hundred thousand inhabitants","8.47",""
"Medical doctors","2008","Finland","Per hundred thousand inhabitants","10.28",""
"Medical doctors","2008","Sweden","Per hundred thousand inhabitants","10.30",""
"Medical doctors","2008","United Kingdom","Per hundred thousand inhabitants","13.22",""
"Medical doctors","2008","Iceland","Per hundred thousand inhabitants","15.44",""
"Medical doctors","2008","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2008","Norway","Per hundred thousand inhabitants","10.40",""
"Medical doctors","2008","Switzerland","Per hundred thousand inhabitants","8.72",""
"Medical doctors","2008","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","12.46",""
"Medical doctors","2008","Albania","Per hundred thousand inhabitants","6.04",""
"Medical doctors","2008","Serbia","Per hundred thousand inhabitants","16.60",""
"Medical doctors","2008","Turkey","Per hundred thousand inhabitants","6.69",""
"Medical doctors","2009","European Union (current composition)","Per hundred thousand inhabitants","10.44",""
"Medical doctors","2009","Belgium","Per hundred thousand inhabitants","7.88",""
"Medical doctors","2009","Bulgaria","Per hundred thousand inhabitants","6.63",""
"Medical doctors","2009","Czechia","Per hundred thousand inhabitants","12.58",""
"Medical doctors","2009","Denmark","Per hundred thousand inhabitants","21.80",""
"Medical doctors","2009","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","12.29",""
"Medical doctors","2009","Estonia","Per hundred thousand inhabitants","8.95",""
"Medical doctors","2009","Ireland","Per hundred thousand inhabitants","16.19",""
"Medical doctors","2009","Greece","Per hundred thousand inhabitants","11.39",""
"Medical doctors","2009","Spain","Per hundred thousand inhabitants","8.46",""
"Medical doctors","2009","France","Per hundred thousand inhabitants","5.20",""
"Medical doctors","2009","Croatia","Per hundred thousand inhabitants","9.39",""
"Medical doctors","2009","Italy","Per hundred thousand inhabitants","11.10",""
"Medical doctors","2009","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2009","Latvia","Per hundred thousand inhabitants","7.14",""
"Medical doctors","2009","Lithuania","Per hundred thousand inhabitants","11.83",""
"Medical doctors","2009","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2009","Hungary","Per hundred thousand inhabitants","9.21",""
"Medical doctors","2009","Malta","Per hundred thousand inhabitants","14.73",""
"Medical doctors","2009","Netherlands","Per hundred thousand inhabitants","12.55",""
"Medical doctors","2009","Austria","Per hundred thousand inhabitants","20.63",""
"Medical doctors","2009","Poland","Per hundred thousand inhabitants","7.31",""
"Medical doctors","2009","Portugal","Per hundred thousand inhabitants","10.59",""
"Medical doctors","2009","Romania","Per hundred thousand inhabitants","12.91",""
"Medical doctors","2009","Slovenia","Per hundred thousand inhabitants","7.94",""
"Medical doctors","2009","Slovakia","Per hundred thousand inhabitants","7.77",""
"Medical doctors","2009","Finland","Per hundred thousand inhabitants","9.37",""
"Medical doctors","2009","Sweden","Per hundred thousand inhabitants","10.68",""
"Medical doctors","2009","United Kingdom","Per hundred thousand inhabitants","13.28",""
"Medical doctors","2009","Iceland","Per hundred thousand inhabitants","11.62",""
"Medical doctors","2009","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2009","Norway","Per hundred thousand inhabitants","10.69",""
"Medical doctors","2009","Switzerland","Per hundred thousand inhabitants","9.41",""
"Medical doctors","2009","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","9.95",""
"Medical doctors","2009","Albania","Per hundred thousand inhabitants",":",""
"Medical doctors","2009","Serbia","Per hundred thousand inhabitants","17.25",""
"Medical doctors","2009","Turkey","Per hundred thousand inhabitants","7.06",""
"Medical doctors","2010","European Union (current composition)","Per hundred thousand inhabitants","10.85",""
"Medical doctors","2010","Belgium","Per hundred thousand inhabitants","8.97",""
"Medical doctors","2010","Bulgaria","Per hundred thousand inhabitants","8.00",""
"Medical doctors","2010","Czechia","Per hundred thousand inhabitants","13.89",""
"Medical doctors","2010","Denmark","Per hundred thousand inhabitants","21.81",""
"Medical doctors","2010","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","12.10",""
"Medical doctors","2010","Estonia","Per hundred thousand inhabitants","11.12",""
